Centre Id,Center,Type,Activity,Org,Lat,Long
UN134,TUBMANVILLE CLINIC,Clinic,null,MERLIN,4.997282,-8.88775
LISGIS419,F. J. Grante,Hosp,null,MERLIN,5.008584,-9.036703
UN122,FJ GRANTE MEMORIAL HOSPITAL,Hospital,null,MERLIN,5.011178,-9.037888
LR39-000011,St. Joseph Catholic,Clinic,null,Faith Based Organization,5.02183,-9.04379
LR42-000005,Tuobo,Clinic,null,MERCI,5.02331,-7.65973
UN129,Government Camp Clinic,Clinic,null,MOHSW,5.029936,-8.439789
LR39-000028,Diyankpo,Clinic,null,MOHSW only,5.03309,-8.53072
UN127,Drapo Clinic,null,null,MOHSW,5.037408,-8.908884
UN139,Lexington (Seesee) Clinic,Clinic,null,MOHSW,5.045555,-9.039694
LR27-000011,Juduken,Clinic,null,MERCI,5.04713,-7.93867
UN138,SAYWON TOWN CLINIC,Clinic,null,MOHSW,5.052772,-8.833101
UN171,Dweken Clinic,null,null,null,5.054203,-8.280096
LR27-000008,Feloken Clinic,Clinic,null,MERCI,5.06728,-7.86617
UN133,DEJIJA KILO CLINIC,Clinic,null,MOHSW,5.086265,-8.970227
UN125,JAUYEN CLINIC,Clinic (HC),null,MOHSW,5.091608,-8.667988
LR39-000005,Kilo Town,Clinic,null,MOHSW only,5.09252,-8.97223
UN124,TUZON CLINIC,null,null,MOHSW,5.101449,-8.498369
LR39-000009,Butaw,Clinic,null,Merlin,5.11943,-9.07004
LR42-000007,Sarbo Sweaken Clinic,Health Center,null,MERCI,5.13154,-7.73245
LR39-000017,SRC,Clinic,null,MOHSW only,5.13308,-8.99635
UN136,SINOE RUBBER COMPANY CLINIC,null,null,MOHSW,5.161352,-8.966615
UN123,Doodwicken Clinic,null,null,MOHSW,5.176583,-8.565983
LR42-000013,Pronoken Town,Clinic,null,MERCI,5.18448,-7.96763
UN175,Fishtown Clinic,Health Center,null,MERCI,5.19743,-7.875519
UN131,JARPOKEN CLINIC,null,null,MOHSW,5.202815,-8.563258
UN176,Gbeh Town Clinic,null,null,null,5.209692,-7.664601
LR42-000006,River Gbeh Clinic,Clinic,null,MERCI,5.21162,-7.66451
LR42-000008,St. Kizito,Clinic,null,Private - for profit,5.23089,-8.01336
LR42-000009,Gbeapo Health Center,Health Center,null,MERCI,5.23469,-8.01386
LR39-000004,BOPC,Clinic,null,Private - non profit,5.25498,-9.17141
LR42-000010,Cherboken,Clinic,null,MERCI,5.26501,-8.07687
LR39-000001,Ducor Free,Clinic,null,MOHSW only,5.27099,-8.37327
LR42-000018,Japroken,Clinic,null,MERCI,5.28879,-7.84706
LISGIS456,Jayproken Clinic,Clinic,null,NFP,5.291194,-7.848468
LISGIS439,Wiah Town,Clinic,null,GOL,5.294137,-9.001917
LR39-000006,Wiah Town,Clinic,null,Merlin,5.294137,-9.001917
UN128,GBATEKEN CLINIC,null,null,MOHSW,5.317457,-8.296944
LR42-000015,Putuken Clinic,Clinic,null,MERCI,5.34589,-8.03451
LR39-000032,Jokoken,Clinic,null,MOHSW only (GOL?),5.35354,-8.12892
LR39-000003,Nyennawlicken,Clinic,null,Merlin,5.36939,-8.18969
LR39-000015,Roselyn Toe Massaquoi,Clinic,null,MOHSW only,5.3745,-8.96184
LR42-000016,Jarkaken,Clinic,null,MERCI,5.37733,-7.99596
LR39-000007,Juarzon,Clinic,null,Merlin (GOL?),5.379736,-8.849674
LR42-000004,Juwelbo,Clinic,null,MERCI,5.40875,-7.82522
LR39-000010,Jacksonville,Clinic,null,Merlin (GOL?),5.41245,-9.08578
LR39-000014,ENI Clinic,Clinic,null,MOHSW only,5.43626,-8.9317
LR42-000017,U-bor,Clinic,null,MERCI,5.44084,-7.5085
UN090,St. Francis Hospital,Hospital,null,null,5.469557,-9.582269
LR36-000001,St. Francis,Hospital,null,AHA,5.47024,-9.5801
UN201,Borleken Clinic,null,null,No,5.477048,-8.71572
LR42-000014,Killepo Clinic,Clinic,null,MERCI,5.49176,-8.09328
LR36-000013,Obs-Obs Mission,Clinic,null,AHA,5.52013,-9.61853
LR39-000016,Chebioh's Town,Clinic,null,Merlin,5.528858,-8.633078
LR36-000012,Timbo Compound,Clinic,null,AHA,5.56679,-9.71894
UN190,Pennoken Clinic,Clinic,null,GOL,5.590409,-8.124181
LR15-000002,Putu Pennoken,Clinic,null,Merlin,5.60069,-8.15372
UN189,Putu Jarwodee Clinic,null,null,Merlin,5.61499,-8.32108
UN114,Charile Town Clinic,Clinic,null,AHA,5.6631,-9.621288
LR39-000035,Pellokon,Clinic,null,MOHSW only,5.67882,-8.59069
UN113,Neezuin Town,null,null,null,5.687642,-9.500306
LR39-000018,Pyne Town,Clinic,null,Merlin,5.69374,-8.40083
LR09-000008,Little Kola (Clinic),Clinic,null,Merlin (GOL?),5.70366,-9.82867
UN107,Gleabo,null,null,null,5.70445,-9.829033
UN104,Yarpa Town,null,null,null,5.71557,-9.618635
UN092,Gbediah Clinic,Clinic,null,AHA,5.741732,-9.641594
UN191,Karlowkeh Clinic,null,null,null,5.753266,-8.151028
LR09-000007,Foster Town,Clinic,null,Merlin,5.76089,-9.71904
UN105,Nyombern Town,null,null,null,5.762485,-9.723451
LR15-000015,Ziah Town,Health Center,null,Merlin,5.76421,-7.85496
LR36-000010,Gblossoe,Clinic,null,AHA,5.77601,-9.58461
UN187,Gorbowraba Clinic,null,null,null,5.78427,-8.33884
LR39-000013,Voogbardee,Clinic,null,Merlin,5.78907,-8.54031
null,null,null,ETC,No Partner Identified,5.816153,-8.099554
LISGIS086,New-Cess Community Clinic,Clinic,null,NFP,5.82276,-9.90938
UN084,Palm Bay Clinic,null,null,null,5.824704,-9.832667
UN110,Joe Pue Town,null,null,null,5.834688,-9.840061
LR36-000009,Sahyah,Clinic,null,AHA,5.84519,-9.54236
UN119,Bruskin Farm Village,null,null,null,5.853524,-9.94035
LR36-000003,Zammie,Clinic,null,AHA,5.85358,-9.22857
UN087,YOU & ME Clinic,null,null,null,5.859673,-9.941498
UN094,ArcelorMittal Hospital,null,null,null,5.863308,-10.034303
"UN097|UNMIL Clinic, Buchanan|null|null|null|5.863308|-10.034303",,,,,,
UN086,Thelmas Zeon Memorial Clinic,null,null,null,5.869766,-9.958406
LR09-000015,SATMH - Mittal Steel,Hospital,null,Private - for profit,5.87101,-10.02755
"STF036|Mittal Steel Hospital,|Hosp|null|ArcelorMittal|5.871499|-10.027783",,,,,,
LISGIS075,SATMH - Mittal Steel Hosp,Hosp,null,ArcelorMittal,5.871499,-10.027783
UN078,St. Peter Claver Catholic Health Center,Health Center,null,Faith Based Organization,5.876879,-10.042475
LR09-000029,Christian Extension Ministry,Clinic,null,Faith Based Organization,5.87912,-10.04224
UN192,Boundary Clinic,null,null,null,5.879644,-7.995475
LR09-000028,Joriam,Clinic,null,Private - for profit,5.88095,-10.04915
UN076,Liberian Government Hospital,Hospital,null,Merlin,5.883739,-10.039913
LR09-000011,Well Baby,Clinic,null,Merlin,5.88531,-10.03419
LR09-000018,Brenda King Clinic,Clinic,null,Private - for profit,5.89345,-10.02167
UN079,World Wide Clinic (CEM Center Clinic),null,null,null,5.895553,-10.029728
UN080,ACFI Clinic,Clinic,null,NFP,5.896594,-10.024229
LR36-000017,Kayah Community,Clinic,null,AHA,5.89928,-9.62345
LR09-000001,Compound 4,Clinic,null,Merlin,5.90964,-9.71032
"LR09-000003|Camphor Mission Clinic, George Z. Dean Memorial Clinic|Clinic|null|Faith Based Organization|5.9171|-9.91629",,,,,,
LR09-000020,Edina,Clinic,null,MOHSW only,5.92487,-10.0762
UN186,Kumah Town Clinic,Clinic,null,Merlin,5.938834,-8.245606
LR15-000021,Toffoi Town,Clinic,null,Merlin,5.96996,-8.0867
UN102,Mission Camp (LAC),null,null,null,6.003029,-9.774359
LR36-000008,Bodowhea,Clinic,null,AHA,6.0037,-9.40138
UN116,Moncre Town,null,null,null,6.004643,-9.901756
UN083,Tubmanville Clinic,null,null,null,6.00744,-9.900414
UN118,John Wleh Town,null,null,null,6.010976,-9.900863
LISGIS397,Dorbor Clinic,Clinic,null,GOL,6.029636,-9.994233
UN188,PTP Refugee Clinic,null,null,No,6.03081,-8.060253
UN108,Little Bassa,Clinic,null,Merlin,6.033883,-10.215317
UN085,St. John Clinic,Clinic,null,Merlin,6.040223,-10.016644
UN089,Fortsville Town Clinic,null,null,null,6.04388,-10.015278
UN106,Full village,null,null,null,6.050626,-9.986766
LR15-000001,Putu Karlorwleh,Clinic,null,Merlin,6.06229,-8.13886
LR15-000013,Gorbowrogba,Clinic,null,Merlin,6.06245,-8.13917
UN183,Christ the king Clinic (Private),null,null,No,6.066202,-8.129768
UN184,Galapo Health Service (Private),null,null,null,6.066202,-8.129768
UN182,Martha Tubman Memorial Hospital,null,null,null,6.066202,-8.129768
LR15-000010,MTM (Martha Tubman Memorial Hospital),Hospital,null,Merlin,6.07795,-8.12434
UN081,Liberian Agriculture Company (LAC) Hospital,Hospital,null,Private,6.088697,-9.737223
LR36-000007,Larkpazee Clinic,Clinic,null,AHA,6.09033,-9.41303
LR15-000011,Gboloken,Clinic,null,Merlin (GOL?),6.10795,-8.19154
UN197,Gbarzon Jarwodee Clinic,Clinic,null,Merlin,6.11346,-8.59979
LR09-000022,Lloydsville (Clinic),Clinic,null,Merlin (GOL?),6.11825,-10.13155
UN115,Loyd Ville Town,null,null,null,6.120905,-10.125151
UN100,SOS clinic,null,null,null,6.132938,-9.985109
UN088,SOS Children Clinic,null,null,null,6.13833,-9.979724
UN082,Compound 3 Clinic,Clinic,null,GOL,6.149498,-9.789833
LR36-000004,Boegeesay,Clinic,null,AHA,6.15302,-9.32163
UN196,Polar Town Clinic,Clinic,null,GOL,6.161709,-8.564343
LR15-000006,Gbarzon Polar,Clinic,null,Merlin,6.16245,-8.56683
UN200,Tuzon Clinic,null,null,null,6.169501,-8.249805
LR09-000030,Boeglay Town,Clinic,null,MOHSW only,6.17212,-9.74643
UN099,Compound 3,null,null,null,6.172181,-9.773698
UN111,Glay Town,null,null,null,6.172221,-9.74568
UN203,Beh Town,Clinic,null,Merlin,6.178194,-8.031979
UN199,Bargblor Town Clinic,Clinic,null,No,6.17891,-8.30204
UN121,Doewein Town,null,null,null,6.189323,-10.267178
LR15-000004,Zai,Clinic,null,Merlin,6.19343,-8.29393
LR24-000025,Charlesville Clinic,Clinic,null,MOHSW only,6.19674,-10.38061
LR24-000034,Edward Banyan Kesselly Military Barracks,Clinic,null,MOHSW only,6.21091,-10.5689
UN117,Bokay Town,Clinic,null,Merlin,6.211922,-10.271751
LR24-000002,Marshall,Health Center,null,MOHSW only,6.21314,-10.42314
LR09-000027,Compound 2,Clinic,null,Merlin,6.21586,-9.91627
LR24-000023,Liberian Health Care Center,Health Center,null,Private - for profit,6.21924,-10.592
"UN202|Janzon Clinic|Clinic|null|Merlin,GOL|6.223449|-8.048166",,,,,,
LR24-000013,Schifflin,Clinic,null,MOHSW only,6.22618,-10.53418
LR15-000003,Zleh Town,Health Center,null,Merlin,6.22689,-8.44005
LR24-000027,Harbel,Health Center,null,Private - for profit,6.23112,-10.32405
LISGIS282,Kenedeja Clinic,Clinic,null,GOL,6.23435,-10.67816
UN068,Kingdom Care Hospital,Health Center,null,Private,6.238803,-10.683901
"LibELW1|ELWA1 Hospital|Ebola Treatment Center|ETC|Samaritans Purse, MSF|6.23938|-10.69651",,,,,,
LR30-000170,Shirley Germychev Clinic,Clinic,null,Private - for profit,6.24003,-10.6898
LR30-000164,Vision for the hopelessness,Clinic,null,Private - for profit,6.24036,-10.66812
LISGIS272,Faith Clinic,Clinic,null,GOL,6.24199,-10.47417
LR24-000001,Sarco Clinic,Clinic,null,Private - for profit,6.24332,-10.34709
LR30-000006,Rehab Community Clinic,Clinic,null,Merlin,6.24528,-10.6757
LR24-000016,Unification Town,Health Center,null,MOHSW only,6.24605,-10.35304
LR30-000143,Sets Maternity,Clinic,null,Private - for profit,6.24989,-10.70003
LR24-000022,Dolo's Town,Clinic,null,MOHSW only,6.25173,-10.35654
LR30-000139,Rock Hole Community,Clinic,null,Private - for profit,6.25807,-10.68954
LISGIS262,Bardnersville Health Center,HC,null,GOL,6.259651,-10.708028
MTI098,Medical Diagnostic Laboratory Clinic,Clinic,null,Private,6.259705,-10.685996
LR36-000005,Gozohn,Clinic,null,AHA,6.25996,-9.27653
LR30-000190,St. John Medical,Clinic,null,Private - for profit,6.26148,-10.69648
LR24-000015,Pioneer,Clinic,null,Private - for profit,6.26242,-10.35916
LR30-000179,Liberty Clinic,Clinic,null,Private - for profit,6.26306,-10.70422
UN195,Gbar Zon (ZleH) Health Center,null,null,No,6.264675,-8.488412
STF033,Marwah Medical Center,null,null,null,6.267197,-10.726201
MTI103,National TB & Leprosy Hospital,Hospital,null,Public,6.26866,-10.7342
LR36-000006,Kangbo Clinic,Clinic,null,AHA,6.2688,-9.20287
LR09-000024,Owensgrove,Clinic,null,Merlin,6.27006,-10.32474
MTI221,Chinese Clinic,Clinic,null,Private,6.270548,-10.738085
LR30-000134,Pastor Fred Davis Memorial Clinic,Clinic,null,Private - for profit,6.27162,-10.68733
LR30-000070,Agape Health Center,Clinic,null,Private - for profit,6.27233,-10.67928
MTI173,Ma-Esther Clinic,Clinic,null,Private,6.272407,-10.721755
STF047,St. Joseph Catholic Hospital,Hospital,null,Private,6.27287,-10.75462
LibStJ,St Joseph Catholic Hospital,Hospital,Hospital,Saint John of God,6.2734,-10.75508
LR30-000036,Catholic New Kru Town,Hospital,null,Faith Based Organization,6.27376,-10.75472
MTI078,E.S. Grant Mantal Hospital,Hospital,null,Public,6.27529,-10.68934
LISGIS270,Duport Road Clinic,Health Center,null,GOL,6.27537,-10.6898
LR30-000057,Duport Road,Health Center,null,MOHSW only,6.27607,-10.69003
UN067,SOS Hospital,Hospital,null,Private - for profit,6.276567,-10.749085
"LR30-000010|Hydro Clinic|Clinic|null|MERCI,GOL|6.2789|-10.75027",,,,,,
LR30-000116,Ma Watta Maternity&Eye,Clinic,null,Private - for profit,6.28125,-10.69215
LR30-000092,FREDAI Medical Eye,Clinic,null,Private - for profit,6.28168,-10.69231
LR30-000132,P.K. Nyansaiye Medical,Clinic,null,Private - for profit,6.28333,-10.69866
MTI025,Fiamah Community Clinic,Clinic,null,Private,6.2834,-10.7515
UN069,Benson Hospital,Hospital,null,GOL,6.28354,-10.68962
LR30-000128,Old Road Community,Clinic,null,Private - for profit,6.28383,-10.74995
MTI275,National Police Training Academic Clinic,Clinic,null,Public,6.283919,-10.700403
MTI095,LNP Training Academic Clinic,Clinic,null,Public,6.28402,-10.70089
LR30-000046,Paynesville Medical & Lab.,Clinic,null,MERCI,6.28484,-10.69587
LR30-000001,PUCC,Clinic,null,Merlin,6.28506,-10.77369
LR30-000082,Dayass Mini,Clinic,null,Private - for profit,6.28564,-10.76493
LR30-000120,Marena Community Clinic,Clinic,null,Private - for profit,6.28585,-10.76474
LR30-000183,Gates of Hope,Clinic,null,Private - for profit,6.28672,-10.6907
STF025,John F. Kennedy Medical Center,Hospital,null,Public,6.287483,-10.773928
LR30-000058,FPAL Clinic,Clinic,null,Private - non profit,6.28849,-10.77714
LR30-000137,Poly Clinic,Clinic,null,Private - for profit,6.28875,-10.7748
MTI032,International poly clinic,Clinic,null,Private,6.28941,-10.7745
LR30-000109,Kissi Bendu,Clinic,null,Private - for profit,6.29018,-10.68772
MTI096,Ma V. maternity,Clinic,null,Private,6.290364,-10.68086
MTI132,Bong Community Clinic,Clinic,null,Private,6.291268,-10.775821
LR30-000047,Dagmon,Clinic,null,Private - for profit,6.29198,-10.76012
LR30-000200,Ahmadyya,Clinic,null,Faith Based Organization,6.29224,-10.78413
MTI123,St. Paul Evangelical Clinic,Clinic,null,Private,6.29239,-10.69075
LR30-000090,Faith Medical Laboratory,Clinic,null,Private - for profit,6.29276,-10.69325
LR30-000013,Providence Clinic,Clinic,null,Private - for profit,6.29277,-10.68782
LR30-000302,God Will Health,Clinic,null,Private - for profit,6.29284,-10.77195
LR30-000194,Life Care Health Center,Health Center,null,Private - for profit,6.29332,-10.66102
MTI099,Medicare Clinic,Clinic,null,Private,6.293432,-10.689021
LR30-000124,Medical Laboratory,Clinic,null,Private - for profit,6.29434,-10.78633
MTI001,A.C.F.I. Medical Center,Clinic,null,Private,6.294495,-10.789362
LR30-000166,Few Diagnostic,Clinic,null,Private - for profit,6.29465,-10.78902
LR30-000048,William Booth,Clinic,null,Faith Based Organization,6.29533,-10.69
LR30-000097,Greater Love Medical clinic,Clinic,null,Faith Based Organization,6.29538,-10.7784
LISGIS315,Mission of Hope Clinic,Clinic,null,NFP,6.295739,-10.769609
LR30-000140,Sam Mini Clinic,Clinic,null,Private - for profit,6.29575,-10.68655
MTI100,Miracle Center of God Clinic,Clinic,null,Private,6.295817,-10.682061
LR30-000126,Medicover Clinic,Clinic,null,SC-UK,6.29585,-10.6809
MTI053,SDA Cooper Memorial Hospital,Hospital,null,Private,6.29654,-10.78057
LR30-000136,Peace Home Medical clinic,Clinic,null,Private - for profit,6.2966,-10.70446
LR30-000076,Breath of Life clinic,Clinic,null,Private - for profit,6.29748,-10.75885
LR30-000043,Ger-Lib,Clinic,null,Private - for profit,6.29783,-10.69759
MTI179,Neighbourhood Maternity Clinic,Clinic,null,Private,6.298927,-10.692127
UN070,Seventh Day Adventist Cooper Hospital,null,null,null,6.299077,-10.777174
UN071,Soul Clinic,null,null,null,6.299351,-10.69494
MTI058,SOS Sub Clinic,Clinic,null,Private,6.29971,-10.76366
LR30-000078,Central Matadi,Clinic,null,Private - for profit,6.29998,-10.76868
LR30-000138,Pool of Bethesda Medical Clinic,Clinic,null,Private - for profit,6.30116,-10.68026
MTI038,Kormassa Maternity Clinic,Clinic,null,Private,6.30236,-10.79726
MTI042,LNP Head Quarter Clinic,null,null,null,6.30356,-10.79563
LR30-000182,Lofa Medical,Clinic,null,Private - for profit,6.30501,-10.71203
MTI165,Kelthy's Clinic,Clinic,null,Private,6.305112,-10.714642
MTI145,Family Medical Center,Clinic,null,Private,6.305112,-10.714642
MTI171,Lofa Medical Services clinic,Clinic,null,Private,6.305112,-10.714642
LR30-000301,God Will Health,Clinic,null,Private - for profit,6.30614,-10.79612
MTI105,NUNICHAPS Barcley Mission Clinic,Clinic,null,Private,6.306169,-10.80353
MTI007,Capital Medical Clinic,Clinic,null,Private,6.30638,-10.797312
LR30-000130,Orphan Grain Train Medical,Clinic,null,Private - for profit,6.30662,-10.72218
LR30-000184,Joanna Maternity,Clinic,null,Private - for profit,6.30742,-10.80788
LR30-000156,Vicmah Maternity,Clinic,null,Private - for profit,6.30807,-10.7104
LR30-000015,Central Prison,Clinic,null,MOHSW only,6.30849,-10.80692
MTI048,Monrovia Central Prison Clinic,Clinic,null,Private,6.30849,-10.80692
MTI040,Liberian National Red Cross Clinic,Clinic,null,Private,6.30881,-10.80277
LR30-000188,Red Cross,Clinic,null,Private - for profit,6.30951,-10.80516
LR30-000051,Peneta Clinic,Clinic,null,Private - for profit,6.30993,-10.7088
MTI052,Richardson- Adams Medical clinic,Clinic,null,Private,6.31089,-10.800017
STF034,MASGCO Medical Center,null,null,null,6.31107,-10.72131
MTI191,SLEMP Medical Clinic,Clinic,null,Private,6.3123,-10.6845
LR30-000191,Dr. Benjamin Harris,Clinic,null,Private - for profit,6.31298,-10.8084
LR30-000085,Dr. Nehme Clinic,Clinic,null,Private - for profit,6.31415,-10.80785
MTI194,St. Benedict Mini Health Center,Health Center,null,Private,6.31415,-10.69448
LR30-000084,Dental & Face Care,Clinic,null,Private - for profit,6.31495,-10.80736
MTI047,Modern Eye Optical Clinic,Clinic,null,Private,6.315214,-10.806306
LR30-000089,Eulysa Clinic,Clinic,null,Private - for profit,6.31544,-10.80451
MTI046,MEDLINK Clinic,Clinic,null,Private,6.315607,-10.80737
LR30-000173,Trinity Healing Temple,Clinic,null,Faith Based Organization,6.31596,-10.73231
LR30-000030,Slipway,Clinic,null,Merlin,6.31603,-10.79861
MTI022,Eye and Optical Clinic,Clinic,null,Private,6.31661,-10.8045
LR30-000060,Grey Stone Comm,Clinic,null,Private - for profit,6.31762,-10.81035
LR30-000026,Gardnersville Community Clinic,Clinic,null,MOHSW only (GOL),6.31766,-10.72773
LR30-000133,Pacific Medical Lab. Clinic,Clinic,null,Private - for profit,6.31775,-10.8076
MTI037,Kebbeh Poly Clinic,Clinic,null,Private,6.317888,-10.805378
LR30-000118,MALAG Clinic,Clinic,null,Private - for profit,6.31821,-10.80764
LR30-000144,Snapper Hill Clinic,Clinic,null,Private - for profit,6.31963,-10.80935
LR30-000108,Kebeh Poly,Clinic,null,Private - for profit,6.3198,-10.81086
UN074,Duside Hospital (Firestone Medical Center),null,null,null,6.321805,-10.445563
LR30-000115,Ma Tuwor,Clinic,null,Private - for profit,6.32229,-10.72811
"LibWes|West Point holding unit|ETC|ETC, Triage|MOH|6.32445|-10.8073",,,,,,
LR30-000027,R H Ferguson,Health Center,null,Merlin,6.3249,-10.73015
LR30-000141,Sarah P. Smith Maternity,Clinic,null,Private - for profit,6.32494,-10.72675
LR30-000199,Mawah Medical (Clinic),Clinic,null,Private - for profit,6.32523,-10.80091
LR30-000068,SiS. Barbara Ann Health Center,Health Center,null,Faith Based Organization,6.32616,-10.73534
LR30-000065,JAW Community,Clinic,null,Private - for profit,6.32786,-10.74098
"LibOni|Island Clinic (Oniyama Specialist Hospital)|Hospital|ETC|MOH, WHO|6.327981|-10.79777",,,,,,
"LibELW2|ELWA2 Hospital|Ebola Treatment Center|ETC|MOH, WHO|6.327981|-10.79777",,,,,,
LibELW3,ELWA3 Hospital,Ebola Treatment Center,ETC,MSF,6.327981,-10.79777
"LibJFK|JFK Memorial Medical Centre|Hospital|ETC, Triage|MOH, WHO|6.327981|-10.79777",,,,,,
null,null,null,ETC,No Partner Identified,6.327981,-10.79777
null,null,null,ETC,No Partner Identified,6.327981,-10.79777
null,null,null,ETC,No Partner Identified,6.327981,-10.79777
null,null,null,ETC,No Partner Identified,6.327981,-10.79777
LR30-000114,LPRC Community (Clinic),Clinic,null,Private - for profit,6.32826,-10.73307
LR30-000061,Star of the sea Health center,Health Center,null,Faith Based Organization,6.3285,-10.80431
LR30-000033,Clara Town,Health Center,null,MOHSW only,6.3287,-10.79808
